// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 14 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
BuildScript: D:\dotnet-pinvoke-bench\src\PInvokeBench\bin\Release\net48\7baac886-0571-43a9-8f3f-0ec267008e17.bat
// ***** Done, took 00:00:03 (3.17 sec)   *****
// Found 12 benchmarks:
//   FillBenchmarks.'DllImport byte[]': ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Size=0]
//   FillBenchmarks.'DllImport byte* + fixed': ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Size=0]
//   FillBenchmarks.'DllImport ref byte + GetReference': ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Size=0]
//   FillBenchmarks.'DllImport byte[]': ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Size=16]
//   FillBenchmarks.'DllImport byte* + fixed': ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Size=16]
//   FillBenchmarks.'DllImport ref byte + GetReference': ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Size=16]
//   FillBenchmarks.'DllImport byte[]': ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Size=256]
//   FillBenchmarks.'DllImport byte* + fixed': ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Size=256]
//   FillBenchmarks.'DllImport ref byte + GetReference': ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Size=256]
//   FillBenchmarks.'DllImport byte[]': ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Size=4096]
//   FillBenchmarks.'DllImport byte* + fixed': ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Size=4096]
//   FillBenchmarks.'DllImport ref byte + GetReference': ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Size=4096]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: FillBenchmarks.'DllImport byte[]': ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Size=0]
// *** Execute ***
// Launch: 1 / 1
// Execute: D:\dotnet-pinvoke-bench\src\PInvokeBench\bin\Release\net48\7baac886-0571-43a9-8f3f-0ec267008e17.exe --anonymousPipes 1600 1596 --benchmarkName "PInvokeBench.FillBenchmarks.V1_DllImport_ByteArray(Size: 0)" --job ShortRun --benchmarkId 0 in 
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET Framework 4.8.1 (4.8.9325.0), X64 RyuJIT VectorSize=256
// GC=Concurrent Workstation
// HardwareIntrinsics= VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 266500.00 ns, 266.5000 us/op
WorkloadJitting  1: 1 op, 1773600.00 ns, 1.7736 ms/op

OverheadJitting  2: 16 op, 335000.00 ns, 20.9375 us/op
WorkloadJitting  2: 16 op, 334200.00 ns, 20.8875 us/op

WorkloadPilot    1: 16 op, 1700.00 ns, 106.2500 ns/op
WorkloadPilot    2: 32 op, 500.00 ns, 15.6250 ns/op
WorkloadPilot    3: 64 op, 1300.00 ns, 20.3125 ns/op
WorkloadPilot    4: 128 op, 1700.00 ns, 13.2813 ns/op
WorkloadPilot    5: 256 op, 3100.00 ns, 12.1094 ns/op
WorkloadPilot    6: 512 op, 6100.00 ns, 11.9141 ns/op
WorkloadPilot    7: 1024 op, 8600.00 ns, 8.3984 ns/op
WorkloadPilot    8: 2048 op, 17100.00 ns, 8.3496 ns/op
WorkloadPilot    9: 4096 op, 36100.00 ns, 8.8135 ns/op
WorkloadPilot   10: 8192 op, 67800.00 ns, 8.2764 ns/op
WorkloadPilot   11: 16384 op, 150400.00 ns, 9.1797 ns/op
WorkloadPilot   12: 32768 op, 278400.00 ns, 8.4961 ns/op
WorkloadPilot   13: 65536 op, 564000.00 ns, 8.6060 ns/op
WorkloadPilot   14: 131072 op, 1148200.00 ns, 8.7601 ns/op
WorkloadPilot   15: 262144 op, 2284900.00 ns, 8.7162 ns/op
WorkloadPilot   16: 524288 op, 5032600.00 ns, 9.5989 ns/op
WorkloadPilot   17: 1048576 op, 9874900.00 ns, 9.4174 ns/op
WorkloadPilot   18: 2097152 op, 21097400.00 ns, 10.0600 ns/op
WorkloadPilot   19: 4194304 op, 44909100.00 ns, 10.7072 ns/op
WorkloadPilot   20: 8388608 op, 93935300.00 ns, 11.1980 ns/op
WorkloadPilot   21: 16777216 op, 193347200.00 ns, 11.5244 ns/op
WorkloadPilot   22: 33554432 op, 368608900.00 ns, 10.9854 ns/op
WorkloadPilot   23: 67108864 op, 802282800.00 ns, 11.9549 ns/op

OverheadWarmup   1: 67108864 op, 106025600.00 ns, 1.5799 ns/op
OverheadWarmup   2: 67108864 op, 104717700.00 ns, 1.5604 ns/op
OverheadWarmup   3: 67108864 op, 106347100.00 ns, 1.5847 ns/op
OverheadWarmup   4: 67108864 op, 103959900.00 ns, 1.5491 ns/op
OverheadWarmup   5: 67108864 op, 108113100.00 ns, 1.6110 ns/op
OverheadWarmup   6: 67108864 op, 103931000.00 ns, 1.5487 ns/op

OverheadActual   1: 67108864 op, 103923900.00 ns, 1.5486 ns/op
OverheadActual   2: 67108864 op, 111099100.00 ns, 1.6555 ns/op
OverheadActual   3: 67108864 op, 113221400.00 ns, 1.6871 ns/op
OverheadActual   4: 67108864 op, 115819900.00 ns, 1.7259 ns/op
